dataset,user,history_n_baskets,target_basket_size,target_repeat_fraction,target_last_jaccard,target_novelty_fraction,target_popularity_profile,target_neighbor_support,target_transition_strength,target_relational_strength,target_personal_frequency,target_personal_recency_score
dunnhumby,20107,6,2,0.0,0.0,1.0,0.9486663311524912,0.05,0.001560844557906149,0.04553882030690694,0.0,0.0
dunnhumby,12283,8,4,0.25,0.0,0.75,0.7366947659788626,0.05,0.015953577965263338,0.04105449610338775,0.03125,0.125
dunnhumby,16943,23,6,0.6666666666666666,0.0,0.33333333333333337,0.752998657943298,0.041666666666666664,0.017625076617200697,0.03801772775466901,0.050724637681159424,0.09999999999999999
dunnhumby,5241,11,18,0.5555555555555556,0.13333333333333333,0.4444444444444444,0.7325043337247665,0.10833333333333334,0.015947603312391118,0.03968915832751837,0.1212121212121212,0.3138888888888889
dunnhumby,9760,2,7,0.2857142857142857,0.1111111111111111,0.7142857142857143,0.7488496656840894,0.09285714285714285,0.02120333681050442,0.015048175986670572,0.14285714285714285,0.21428571428571427
dunnhumby,21739,2,23,0.043478260869565216,0.0,0.9565217391304348,0.7087974004945188,0.021739130434782608,0.01516642417379834,0.043358542082589956,0.021739130434782608,0.021739130434782608
dunnhumby,22195,4,2,0.0,0.0,1.0,0.6272647206844489,0.025,0.011717069994463068,0.015573496003212322,0.0,0.0
dunnhumby,20789,4,6,0.3333333333333333,0.0,0.6666666666666667,0.7626446904881731,0.13333333333333333,0.014173556113912007,0.05544902403382873,0.08333333333333333,0.13888888888888887
dunnhumby,7185,2,2,0.5,0.0,0.5,0.6808002013085053,0.05,0.009470403167639606,0.0004562520391687866,0.25,0.25
dunnhumby,21402,2,31,0.1935483870967742,0.046153846153846156,0.8064516129032258,0.6417236229037128,0.0596774193548387,0.014263922847361502,0.026407061619286652,0.14516129032258066,0.14516129032258066
dunnhumby,6055,2,9,0.0,0.0,1.0,0.5411983447967343,0.03333333333333333,0.01940445928095296,0.030544886075758355,0.0,0.0
dunnhumby,7470,7,11,0.2727272727272727,0.0,0.7272727272727273,0.7663105641213341,0.1272727272727273,0.014187673711264549,0.058567682309380545,0.0779220779220779,0.05844155844155843
dunnhumby,5594,12,3,0.0,0.0,1.0,0.8552256332830063,0.08333333333333333,0.008996491570194684,0.0682469920775158,0.0,0.0
dunnhumby,1425,12,6,0.5,0.0,0.5,0.795902533132025,0.11666666666666668,0.002656352119188351,0.025694291012483186,0.06944444444444443,0.06527777777777777
dunnhumby,11311,2,2,0.0,0.0,1.0,0.9279063915450427,0.05,0.02461288920471939,0.043327692507424624,0.0,0.0
dunnhumby,5947,4,2,0.0,0.0,1.0,0.6196527428283845,0.0,0.026142258615747455,0.0,0.0,0.0
dunnhumby,8546,5,2,0.5,0.3333333333333333,0.5,0.8705334675390035,0.125,0.006702825105122535,0.0,0.1,0.5
dunnhumby,6548,11,7,0.8571428571428571,0.2857142857142857,0.1428571428571429,0.6860306276511611,0.25,0.024927552814318306,0.042324190416789906,0.3376623376623376,0.5285714285714286
dunnhumby,13961,2,7,0.2857142857142857,0.0625,0.7142857142857143,0.8294449636925733,0.12142857142857144,0.01908540402977205,0.05406638083829762,0.14285714285714285,0.21428571428571427
dunnhumby,13009,9,5,0.2,0.05263157894736842,0.8,0.6483895319577252,0.08,0.016094093563461635,0.04462025607391834,0.02222222222222222,0.2
dunnhumby,20805,2,3,0.0,0.0,1.0,0.8941452776379801,0.08333333333333333,0.01982077177865358,0.03128283075360908,0.0,0.0
dunnhumby,14394,18,14,0.42857142857142855,0.0,0.5714285714285714,0.8492972176288733,0.049999999999999996,0.009629705491246131,0.05247585542212539,0.027777777777777773,0.07831632653061225
dunnhumby,8543,10,31,0.22580645161290322,0.030303030303030304,0.7741935483870968,0.7370935272821728,0.09999999999999998,0.010572547601793405,0.04343087995852199,0.03225806451612903,0.09242191500256017
dunnhumby,19892,6,8,0.25,0.125,0.75,0.819026799194766,0.025,0.002998305566100581,0.035027532400659804,0.0625,0.15625
dunnhumby,804,6,17,0.5294117647058824,0.041666666666666664,0.47058823529411764,0.71407531306433,0.08529411764705883,0.02014497721742474,0.046399283778106606,0.0980392156862745,0.2745098039215686
dunnhumby,11293,8,4,0.25,0.0,0.75,0.9412116255661801,0.0125,0.017722127740996567,0.07467162224719616,0.03125,0.03125
dunnhumby,2689,16,7,0.5714285714285714,0.0,0.4285714285714286,0.9205909842547991,0.13571428571428573,0.00470190546312982,0.08636718015091868,0.08928571428571429,0.09282879818594103
dunnhumby,14240,23,12,0.4166666666666667,0.0,0.5833333333333333,0.8781873846670022,0.06666666666666667,0.011572564067166322,0.06219639636903049,0.043478260869565216,0.06729497354497355
dunnhumby,17123,3,1,0.0,0.0,1.0,0.9859084046300957,0.1,0.03314097807650976,0.0,0.0,0.0
dunnhumby,19193,9,4,0.75,0.0,0.25,0.7539632611977856,0.2375,0.013364057859185305,0.03994720856997428,0.2777777777777778,0.22916666666666663
dunnhumby,15495,2,5,0.4,0.1,0.6,0.9170860593860091,0.21000000000000002,0.01749545403785094,0.05712748705846005,0.3,0.3
dunnhumby,18612,2,1,0.0,0.0,1.0,0.7739053850025164,0.0,0.015617482323998549,0.0,0.0,0.0
dunnhumby,7557,14,2,0.5,0.0,0.5,0.7757297433316558,0.1,0.03434022403988252,0.09434863442611027,0.21428571428571427,0.16666666666666666
dunnhumby,17558,5,2,0.5,0.3333333333333333,0.5,0.9976094614997484,0.35000000000000003,0.025987887541817176,0.1487059446854092,0.3,0.5
dunnhumby,15275,20,20,0.65,0.0,0.35,0.828466280825365,0.10500000000000001,0.012330457693941647,0.04883179409642427,0.0825,0.0963095238095238
dunnhumby,4275,17,3,0.3333333333333333,0.0,0.6666666666666667,0.6715735614829725,0.016666666666666666,0.009190651059716852,0.026184435099865486,0.0196078431372549,0.041666666666666664
dunnhumby,143,7,43,0.37209302325581395,0.11864406779661017,0.627906976744186,0.8173096054587375,0.1302325581395349,0.021359578865136532,0.05528656279538207,0.11960132890365449,0.22757475083056475
dunnhumby,3479,5,9,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.9581026673376951,0.3111111111111111,0.02619357780856886,0.08049909625052237,0.5111111111111112,0.6111111111111112
dunnhumby,10380,6,21,0.5714285714285714,0.21052631578947367,0.4285714285714286,0.7667098042035133,0.10238095238095239,0.018652264144505545,0.04673001759963548,0.246031746031746,0.4642857142857143
dunnhumby,4684,3,11,0.36363636363636365,0.07692307692307693,0.6363636363636364,0.8042274786109712,0.045454545454545456,0.017534199126397212,0.042991083213729166,0.2121212121212121,0.25757575757575757
dunnhumby,490,14,5,0.2,0.0,0.8,0.6703321590337191,0.02,0.011591384505454605,0.01862279299855183,0.014285714285714285,0.02222222222222222
dunnhumby,9497,5,1,1.0,0.1111111111111111,0.0,0.6317312531454454,0.1,0.010810109326806398,0.0,0.4,1.0
dunnhumby,1915,19,10,1.0,0.0,0.0,0.8799823855057877,0.25,0.020026997693858233,0.09454970896205801,0.3,0.4291666666666666
dunnhumby,1493,10,10,0.5,0.07142857142857142,0.5,0.8110971313537997,0.14500000000000002,0.01993201728896701,0.05382394487605448,0.12,0.19428571428571426
dunnhumby,10256,19,4,0.75,0.2857142857142857,0.25,0.9790513336688476,0.2,0.04106888115514066,0.09039451483435584,0.23684210526315785,0.5416666666666666
dunnhumby,13872,5,6,0.3333333333333333,0.0,0.6666666666666667,0.7316305988928032,0.016666666666666666,0.0036110857344471173,0.024996028624608885,0.06666666666666667,0.08888888888888889
dunnhumby,11928,8,2,0.5,0.0,0.5,0.8079391041771515,0.125,0.007663819522196556,0.016884815897346386,0.125,0.25
dunnhumby,20228,7,16,0.125,0.037037037037037035,0.875,0.7963717287367891,0.065625,0.017969970415094634,0.03590073514666785,0.07142857142857142,0.09375
dunnhumby,10758,7,5,0.8,0.42857142857142855,0.19999999999999996,0.842400603925516,0.19,0.02014443481314215,0.027147343813289527,0.3142857142857142,0.64
dunnhumby,17181,6,15,0.4666666666666667,0.2608695652173913,0.5333333333333333,0.7545462170776714,0.09000000000000001,0.013259034714824825,0.028162123315708745,0.13333333333333333,0.43333333333333335
dunnhumby,14909,15,4,0.5,0.0,0.5,0.9415890790135883,0.225,0.019370596147299926,0.06390198293173195,0.11666666666666667,0.16666666666666666
dunnhumby,6049,2,35,0.17142857142857143,0.07692307692307693,0.8285714285714285,0.7198684305126177,0.06142857142857142,0.013893771678073458,0.03575511113453856,0.1,0.12857142857142856
dunnhumby,15293,7,9,0.8888888888888888,0.3076923076923077,0.11111111111111116,0.9577671531622209,0.17222222222222222,0.03536438847803402,0.08304838450245759,0.3333333333333333,0.5296296296296297
dunnhumby,11605,8,1,0.0,0.0,1.0,0.5123301459486663,0.0,0.0,0.0,0.0,0.0
dunnhumby,9463,9,2,0.0,0.0,1.0,0.4203573225968797,0.0,0.002134434435891783,0.0299548509898692,0.0,0.0
dunnhumby,17611,2,8,0.0,0.0,1.0,0.7136701056869652,0.00625,0.0033390096297155635,0.036441909872505424,0.0,0.0
dunnhumby,11513,4,5,0.2,0.0,0.8,0.6798691494715652,0.0,0.016489790316569657,0.03596890863308196,0.05,0.06666666666666667
dunnhumby,349,8,5,0.6,0.125,0.4,0.74906894816306,0.27999999999999997,0.030076813686046294,0.04568628763551001,0.225,0.33999999999999997
dunnhumby,4232,6,1,0.0,0.0,1.0,0.6542526421741318,0.0,0.0,0.0,0.0,0.0
dunnhumby,21513,3,12,0.5,0.0,0.5,0.8288038919644354,0.05416666666666666,0.007443119470231518,0.05780822612112172,0.19444444444444445,0.25
dunnhumby,1240,18,1,0.0,0.0,1.0,0.4431303472571716,0.0,0.0011753694720104172,0.0,0.0,0.0
dunnhumby,5273,10,1,1.0,0.0,0.0,0.9085304479114242,0.45,0.03945560907286421,0.0,0.2,0.25
dunnhumby,4795,7,2,1.0,0.1111111111111111,0.0,0.9534474081529944,0.25,0.024347278228542702,0.11545609340496595,0.21428571428571427,0.6
dunnhumby,7778,2,9,0.4444444444444444,0.3076923076923077,0.5555555555555556,0.7908907901358834,0.10555555555555556,0.017458790973096768,0.03568090365187879,0.2777777777777778,0.4444444444444444
dunnhumby,10741,2,2,0.0,0.0,1.0,0.708102667337695,0.0,0.0027831335559399847,0.0,0.0,0.0
dunnhumby,14955,2,11,0.5454545454545454,0.14285714285714285,0.4545454545454546,0.8537882600539871,0.1590909090909091,0.02069089019345345,0.054135180646787844,0.3181818181818182,0.4090909090909091
dunnhumby,732,10,3,0.3333333333333333,0.0,0.6666666666666667,0.5376614661969468,0.016666666666666666,0.01418499946767759,0.040025126058692,0.06666666666666667,0.16666666666666666
dunnhumby,15768,6,9,0.3333333333333333,0.0,0.6666666666666667,0.7820416037577587,0.09444444444444446,0.0094401259896699,0.056417582754891046,0.07407407407407407,0.12962962962962962
dunnhumby,1172,20,4,0.25,0.0,0.75,0.8876132360342225,0.037500000000000006,0.007039069845675163,0.025168942219214233,0.0125,0.125
dunnhumby,7952,2,3,0.0,0.0,1.0,0.6942627075993961,0.0,0.005894454981599205,0.033092119772755606,0.0,0.0
dunnhumby,221,10,7,0.2857142857142857,0.05263157894736842,0.7142857142857143,0.8279351499029406,0.10714285714285716,0.01759568948454557,0.01336395687675165,0.028571428571428574,0.17857142857142858
dunnhumby,15034,7,2,0.0,0.0,1.0,0.5863739305485657,0.0,0.047947964347732325,0.0,0.0,0.0
dunnhumby,2837,16,2,0.0,0.0,1.0,0.9213638651233015,0.0,0.0,0.0083502187536616,0.0,0.0
dunnhumby,20772,5,4,0.5,0.0,0.5,0.977824609964771,0.0875,0.04209505448789721,0.08659009876349245,0.1,0.125
dunnhumby,7755,2,3,0.3333333333333333,0.0,0.6666666666666667,0.8267069283677234,0.35000000000000003,0.02356767049304817,0.05024214473033215,0.16666666666666666,0.16666666666666666
dunnhumby,17653,18,13,0.46153846153846156,0.0,0.5384615384615384,0.895929309744106,0.06923076923076923,0.014020332885404283,0.057615006098062395,0.047008547008547015,0.0881895881895882
dunnhumby,6298,8,15,0.6666666666666666,0.1935483870967742,0.33333333333333337,0.7131102164066433,0.19333333333333336,0.019835542353437395,0.04779946926453884,0.35,0.4888888888888889
dunnhumby,20089,8,3,0.6666666666666666,0.2,0.33333333333333337,0.5611055192081865,0.21666666666666667,0.01664256975796023,0.009159357543755886,0.16666666666666666,0.375
dunnhumby,6234,19,1,1.0,0.0,0.0,0.9241318570709612,0.25,0.01699846375826035,0.0,0.2631578947368421,0.2
dunnhumby,1615,8,14,0.5,0.07142857142857142,0.5,0.6542885901215041,0.08214285714285714,0.020727132551364415,0.0335847236636706,0.125,0.1660714285714286
dunnhumby,5375,6,2,0.5,0.0,0.5,0.879906894816306,0.1,0.020628186811721065,0.005331910746572358,0.08333333333333333,0.08333333333333333
dunnhumby,16179,10,5,1.0,0.25,0.0,0.9620281831907398,0.32,0.029347335156696998,0.10230368752028066,0.28,0.6166666666666667
dunnhumby,13032,11,4,0.5,0.16666666666666666,0.5,0.6361348766985405,0.0125,0.012448494521654696,0.03216638164870535,0.045454545454545456,0.3333333333333333
dunnhumby,16654,3,9,0.1111111111111111,0.03125,0.8888888888888888,0.8380445115472797,0.06666666666666667,0.017590687417001843,0.05548072658185635,0.07407407407407407,0.1111111111111111
dunnhumby,19726,6,2,0.0,0.0,1.0,0.8738047307498742,0.0,0.007164164521832083,0.0,0.0,0.0
dunnhumby,3467,20,1,0.0,0.0,1.0,0.8990941117262204,0.0,0.07570239746265196,0.0,0.0,0.0
dunnhumby,20088,4,4,0.0,0.0,1.0,0.9058253648716658,0.0,0.023241042209132912,0.179933376867128,0.0,0.0
dunnhumby,3101,30,3,1.0,0.15384615384615385,0.0,0.7050830397584299,0.31666666666666665,0.030697329600566894,0.1098498150943469,0.4777777777777777,0.7083333333333334
dunnhumby,4421,12,7,0.42857142857142855,0.0,0.5714285714285714,0.7349557840247322,0.08571428571428572,0.01376134156494639,0.04492262074551515,0.11904761904761905,0.12755102040816327
dunnhumby,15871,2,4,0.0,0.0,1.0,0.7996665827881229,0.025,0.023214024800514276,0.02519335746247882,0.0,0.0
dunnhumby,10950,8,4,0.25,0.0,0.75,0.5838575742325114,0.05,0.0,0.029871298605038645,0.0625,0.08333333333333333
dunnhumby,4223,8,17,0.5882352941176471,0.0,0.4117647058823529,0.7442937920009474,0.11764705882352941,0.012194019287392853,0.04273399158274498,0.19852941176470587,0.25
dunnhumby,16084,2,9,0.0,0.0,1.0,0.8571548397919813,0.022222222222222223,0.008634560346581914,0.041775668779199776,0.0,0.0
dunnhumby,21247,14,4,0.0,0.0,1.0,0.74352038248616,0.037500000000000006,0.01690881733499451,0.06826925355753287,0.0,0.0
dunnhumby,8440,4,2,1.0,0.0,0.0,0.892866129843986,0.7749999999999999,0.05009975864403783,0.06892501937505549,0.375,0.41666666666666663
dunnhumby,9072,32,5,0.6,0.0,0.4,0.7279063915450428,0.06999999999999999,0.0161148588834785,0.0071346510435091135,0.025,0.11964285714285713
dunnhumby,17295,17,1,0.0,0.0,1.0,0.2122546552591847,0.05,0.0,0.0,0.0,0.0
dunnhumby,18920,6,3,0.3333333333333333,0.0,0.6666666666666667,0.7680338869317228,0.0,0.007169736006243473,0.009356560021578352,0.05555555555555555,0.1111111111111111
dunnhumby,16039,2,2,0.0,0.0,1.0,0.7601283341721188,0.0,0.004441321150562818,0.0,0.0,0.0
dunnhumby,8898,15,1,1.0,0.2,0.0,0.7244589833920483,0.2,0.02562250865784814,0.0,0.3333333333333333,1.0
dunnhumby,21,8,6,0.6666666666666666,0.0,0.33333333333333337,0.6995470558631104,0.06666666666666667,0.004032428531062352,0.09044321293627612,0.14583333333333334,0.3333333333333333
dunnhumby,15856,6,27,0.4444444444444444,0.16279069767441862,0.5555555555555556,0.7653823929616581,0.10555555555555556,0.017858324871753664,0.04488443382272676,0.1111111111111111,0.3185185185185185
dunnhumby,13161,9,19,0.5789473684210527,0.05714285714285714,0.42105263157894735,0.8074788758509258,0.1368421052631579,0.01886258587417211,0.05438660236714923,0.15204678362573099,0.2587719298245614
dunnhumby,11636,4,22,0.5,0.0,0.5,0.7579208034039439,0.08409090909090908,0.004594343425364505,0.04625862197604052,0.20454545454545456,0.22727272727272724
dunnhumby,6059,12,6,0.5,0.16666666666666666,0.5,0.8381563496057708,0.27499999999999997,0.007223566055477768,0.03830593693570331,0.27777777777777773,0.2833333333333333
dunnhumby,7361,19,2,1.0,0.2857142857142857,0.0,0.8533593356819326,0.07500000000000001,0.019173885327880422,0.039224597146792196,0.05263157894736842,1.0
dunnhumby,5376,13,5,0.0,0.0,1.0,0.7875440362355309,0.04,0.008274280106180285,0.030215423017280373,0.0,0.0
dunnhumby,11435,10,14,0.7142857142857143,0.24,0.2857142857142857,0.7465669710259545,0.18928571428571428,0.02294674458773363,0.06320766863043682,0.17142857142857143,0.48888888888888893
dunnhumby,22182,5,1,1.0,1.0,0.0,0.8880221439355813,0.05,0.0,0.0,0.2,1.0
dunnhumby,13460,17,2,0.0,0.0,1.0,0.5402617010568697,0.05,0.010743588278172716,0.01913790380917566,0.0,0.0
dunnhumby,908,7,17,1.0,0.55,0.0,0.739512715000444,0.11176470588235293,0.06104066829536115,0.08703926818410135,0.6890756302521008,0.7990196078431372
dunnhumby,10212,6,27,0.48148148148148145,0.1875,0.5185185185185186,0.716704878003318,0.07407407407407407,0.01749593585293982,0.033830503557838995,0.19753086419753088,0.3790123456790123
dunnhumby,19232,6,1,1.0,0.0,0.0,0.8811021640664318,0.6,0.019929332014583558,0.0,0.3333333333333333,0.5
dunnhumby,14295,7,21,0.7619047619047619,0.047619047619047616,0.23809523809523814,0.7694897788002971,0.1261904761904762,0.02846637598761678,0.06457328280483024,0.5034013605442176,0.3682539682539682
dunnhumby,17374,2,4,0.0,0.0,1.0,0.7769250125817816,0.025,0.011282058136162624,0.022945973511621632,0.0,0.0
dunnhumby,9066,2,11,0.09090909090909091,0.037037037037037035,0.9090909090909091,0.8256165072974334,0.03636363636363636,0.022578059286691095,0.05140180875669571,0.09090909090909091,0.09090909090909091
dunnhumby,2626,45,4,0.25,0.0,0.75,0.7473892803220936,0.0625,0.0031616832477332326,0.02836090978355674,0.016666666666666666,0.015625
dunnhumby,21708,5,4,0.0,0.0,1.0,0.8924257674886764,0.025,0.008555332678414518,0.05235382961246007,0.0,0.0
dunnhumby,18276,6,16,0.375,0.13636363636363635,0.625,0.8076166960241571,0.115625,0.020089211941867996,0.0438019187431829,0.13541666666666666,0.2625
dunnhumby,6892,31,18,0.4444444444444444,0.0,0.5555555555555556,0.6858888329698597,0.1,0.0058712041832214385,0.028776755019609728,0.04659498207885304,0.06517792302106028
dunnhumby,8478,15,1,1.0,0.0,0.0,0.9879214896829391,0.25,0.031132395832845786,0.0,0.5333333333333333,0.5
dunnhumby,6974,23,27,0.5925925925925926,0.0,0.40740740740740744,0.7477678987492775,0.11851851851851852,0.011897850132759012,0.041608789798282024,0.0821256038647343,0.097228268242761
dunnhumby,4730,5,4,0.5,0.25,0.5,0.8498364368394564,0.25,0.039900624525904795,0.05823475934995394,0.35,0.5
dunnhumby,6001,3,16,0.5,0.1724137931034483,0.5,0.7772081026673376,0.084375,0.018620446878084097,0.03231153056300397,0.25,0.40625
dunnhumby,17455,2,13,0.23076923076923078,0.10714285714285714,0.7692307692307692,0.85217374472533,0.08076923076923077,0.021631398453583736,0.05361209308075167,0.15384615384615385,0.23076923076923078
dunnhumby,14727,3,1,0.0,0.0,1.0,0.4373427277302466,0.05,0.039444035870403744,0.0,0.0,0.0
dunnhumby,11613,9,3,0.6666666666666666,0.125,0.33333333333333337,0.8935581278309009,0.25,0.023888682027901936,0.06483753423723145,0.3333333333333333,0.4444444444444444
dunnhumby,9261,4,4,0.5,0.0,0.5,0.6948917966784096,0.17500000000000002,0.014604929718135576,0.03585177264054675,0.125,0.20833333333333331
dunnhumby,20590,6,11,0.6363636363636364,0.46153846153846156,0.36363636363636365,0.8578601820926934,0.1863636363636364,0.04519386819052407,0.09922329841435648,0.33333333333333337,0.5909090909090909
dunnhumby,2040,34,2,1.0,0.0,0.0,0.9577881227981881,0.225,0.03198132379380645,0.07940527047093708,0.058823529411764705,0.0625
dunnhumby,12214,17,6,1.0,0.0,0.0,0.9270466364703909,0.25833333333333336,0.018511086232322154,0.06275899934937472,0.18627450980392157,0.3363095238095238
dunnhumby,14557,6,6,0.3333333333333333,0.0,0.6666666666666667,0.9214267740312027,0.049999999999999996,0.015868664532491316,0.07733467098204212,0.05555555555555555,0.1111111111111111
dunnhumby,11379,9,12,0.3333333333333333,0.0,0.6666666666666667,0.7271011575239053,0.05833333333333334,0.023885135810543707,0.054830296433946886,0.05555555555555556,0.08888888888888889
dunnhumby,7628,13,2,1.0,0.25,0.0,0.6799194765978862,0.3,0.022039842008169178,0.09174114927827055,0.3846153846153846,1.0
dunnhumby,19866,3,1,0.0,0.0,1.0,0.9738298943130347,0.0,0.0032898840572182404,0.0,0.0,0.0
dunnhumby,1722,5,15,0.26666666666666666,0.0,0.7333333333333334,0.6389615836269082,0.06666666666666667,0.014066738985791815,0.021737826477630326,0.06666666666666667,0.05666666666666667
dunnhumby,8028,17,7,0.42857142857142855,0.0,0.5714285714285714,0.7073837083902509,0.09285714285714286,0.015763334246924287,0.04645665021642892,0.06722689075630252,0.07142857142857142
dunnhumby,21712,3,6,0.5,0.13333333333333333,0.5,0.8549739976514008,0.12500000000000003,0.027476494504035692,0.03852423237007325,0.2222222222222222,0.38888888888888884
dunnhumby,15944,15,10,0.5,0.08333333333333333,0.5,0.8303095118268746,0.13,0.03564209442527915,0.04253589854470584,0.08666666666666667,0.18333333333333332
dunnhumby,16247,2,9,0.0,0.0,1.0,0.791086506738243,0.03333333333333334,0.01110441085824574,0.057408355627711356,0.0,0.0
dunnhumby,1720,16,4,0.5,0.09090909090909091,0.5,0.8289821338701561,0.1375,0.014946052534238991,0.013428656263332353,0.15625,0.2916666666666667
dunnhumby,1286,2,6,0.16666666666666666,0.0,0.8333333333333334,0.7338953195772522,0.1416666666666667,0.03412453658996626,0.0298770752511016,0.08333333333333333,0.08333333333333333
dunnhumby,2305,2,5,0.2,0.0,0.8,0.9481882234524409,0.12,0.017427894232506996,0.06423032224311234,0.1,0.1
dunnhumby,21578,2,5,0.0,0.0,1.0,0.9436336185203824,0.02,0.007640501046627481,0.11485306530551487,0.0,0.0
dunnhumby,9685,8,1,0.0,0.0,1.0,0.791897332662305,0.0,0.0,0.0,0.0,0.0
dunnhumby,7474,15,2,0.0,0.0,1.0,0.4981127327629592,0.0,0.0,0.0,0.0,0.0
dunnhumby,16535,10,4,0.75,0.0,0.25,0.9094740815299447,0.3125,0.02934203820192775,0.10303338150062744,0.3,0.2857142857142857
dunnhumby,17871,3,22,0.4090909090909091,0.18518518518518517,0.5909090909090908,0.8007388937182595,0.11363636363636363,0.023724214584424638,0.04949261138841352,0.2121212121212121,0.29545454545454547
dunnhumby,8636,28,14,0.7857142857142857,0.125,0.2142857142857143,0.747537565605004,0.15,0.01909559921479408,0.052652778290566804,0.125,0.29782509157509157
dunnhumby,14406,8,10,0.2,0.0,0.8,0.7211373930548566,0.075,0.03806498955767981,0.06311089661559746,0.025,0.041666666666666664
dunnhumby,10081,6,7,0.14285714285714285,0.0,0.8571428571428572,0.7812387662664462,0.09285714285714286,0.017695595715356477,0.04684208232270363,0.023809523809523808,0.03571428571428571
dunnhumby,16055,4,22,0.22727272727272727,0.0967741935483871,0.7727272727272727,0.7417703710481768,0.04545454545454546,0.012845498093291602,0.03336707559345239,0.056818181818181816,0.17045454545454544
dunnhumby,13467,8,10,0.5,0.0,0.5,0.7883492702566685,0.175,0.021287480871597167,0.0611538342793446,0.2375,0.16166666666666668
dunnhumby,4033,15,4,0.0,0.0,1.0,0.718105183694011,0.025,0.010183500708883544,0.0138241320175591,0.0,0.0
dunnhumby,213,23,13,0.6923076923076923,0.0,0.3076923076923077,0.8644942123804731,0.08076923076923079,0.014763378911347854,0.04866986144193984,0.07023411371237459,0.10790669070021296
dunnhumby,1962,30,5,0.8,0.0,0.19999999999999996,0.9838701560140916,0.12,0.029779220225252652,0.09724271927494228,0.05333333333333333,0.14500000000000002
dunnhumby,12717,13,5,0.6,0.0,0.4,0.8636889783593358,0.12,0.01212447886434998,0.06632615945729617,0.15384615384615385,0.1833333333333333
dunnhumby,13946,14,2,1.0,0.0,0.0,0.9989934574735783,0.25,0.01759567835621413,0.17016744241736337,0.35714285714285715,0.41666666666666663
dunnhumby,10343,13,1,1.0,0.0,0.0,0.7757926522395571,0.05,0.0029902421536888873,0.0,0.15384615384615385,0.25
dunnhumby,4035,15,4,0.0,0.0,1.0,0.6788814796175138,0.05,0.03304862904479986,0.03885188906647032,0.0,0.0
dunnhumby,6526,10,1,0.0,0.0,1.0,0.4729491696024157,0.0,0.010203851608726125,0.0,0.0,0.0
dunnhumby,20838,4,11,0.36363636363636365,0.16666666666666666,0.6363636363636364,0.7657615409251041,0.16818181818181818,0.01546425716675548,0.04176332932686861,0.13636363636363635,0.25
dunnhumby,21698,5,2,1.0,0.07692307692307693,0.0,0.9082788122798189,0.3,0.020671761608079306,0.0665452390887404,0.30000000000000004,0.625
dunnhumby,16682,2,18,0.3333333333333333,0.10714285714285714,0.6666666666666667,0.8371498070793492,0.1472222222222222,0.033207423332782454,0.06497734123188435,0.16666666666666666,0.25
