dataset,feature,n_users,n_nonmissing,missing_rate,n_unique,zero_rate,mean,std,min,p10,median,p90,max
tmall,adjacent_basket_jaccard,11405,11405,0.0,130,0.8737395879000438,0.034533613785431606,0.1258800782691638,0.0,0.0,0.0,0.0952380952380952,1.0
tmall,recent_basket_novelty,11405,11405,0.0,10,0.049188952213941255,0.9465176092357155,0.22006853074313204,0.0,1.0,1.0,1.0,1.0
tmall,popularity_profile,11405,11405,0.0,9064,0.0,0.7722970284928414,0.14893626056305767,0.2374310988620199,0.5764302542674252,0.7885624110953058,0.9545252489331436,1.0
tmall,neighbor_similarity,11405,11405,0.0,11281,0.00797895659798334,0.19200596090757313,0.0899950740382733,0.0,0.07246108349736384,0.1879709088027588,0.30723672310066463,0.6598159897317917
tmall,transition_strength,11405,11405,0.0,8215,0.00789127575624726,0.11367532863322617,0.026416313188910762,0.0,0.08176622792639945,0.1158293316663942,0.1443158107945441,0.2640520389241078
tmall,relational_strength,11405,11405,0.0,4472,0.4709338009644893,0.03348810377330565,0.050554303847239024,0.0,0.0,0.0146789205324654,0.08894976114317543,0.5435040337192889
valuedshopper,n_baskets,15150,15150,0.0,8,0.0,8.958679867986799,0.43359892384336723,2.0,9.0,9.0,9.0,9.0
valuedshopper,avg_basket_size,15150,15150,0.0,508,0.0,12.108131017863691,7.5569552653461844,1.1111111111111112,4.333333333333333,10.444444444444445,22.0,79.0
valuedshopper,repeat_rate,15150,15150,0.0,4090,0.002772277227722772,0.2576833564822155,0.10543369895852778,0.0,0.1290322580645161,0.25,0.39813758886255934,0.7407407407407407
valuedshopper,adjacent_basket_jaccard,15150,15150,0.0,11742,0.04930693069306931,0.06428061732079221,0.055516630090955796,0.0,0.0104166666666666,0.0513888888888888,0.13147047989985067,0.75
valuedshopper,recent_basket_novelty,15150,15150,0.0,624,0.08006600660066007,0.556917988656283,0.27330633299365187,0.0,0.19291497975708502,0.5625,1.0,1.0
valuedshopper,popularity_profile,15150,15150,0.0,15149,0.0,0.939698745815415,0.031880366991908826,0.6025272809352574,0.8996844508084486,0.9472487219977856,0.9704863832776535,0.9954875542894502
valuedshopper,neighbor_similarity,15150,15150,0.0,15150,0.0,0.16385471267600865,0.03382602425992978,0.0601746943274884,0.12306848521550974,0.16080337391823166,0.2089176064993557,0.3392759665789662
valuedshopper,transition_strength,15150,15150,0.0,15150,0.0,0.048675851968940656,0.01472715101885506,0.008208280969767,0.03431701562577149,0.04557770175198465,0.06657866229802444,0.249681344664688
valuedshopper,relational_strength,15150,15150,0.0,15150,0.0,0.07552343850446347,0.02115141776499912,0.004663576593659,0.05254657493392762,0.0731692185586941,0.10092694339760726,0.2828660955528248
