dataset,feature,count,mean,std,min,p10,median,p90,max
instacart,neighbor_similarity,10056,0.1529659415927426,0.06809018708771668,0.0507747288995993,0.0939802631731585,0.13593678363996825,0.24894683920056604,0.606750263279557
instacart,sequential_specificity,10056,0.21454149231495054,0.123782206483493,0.0,0.1018398892730141,0.17514552708112147,0.3879865646747658,0.7338182147119523
instacart,relational_strength,10056,0.07729701743727996,0.03604518744388219,0.0,0.04926403507871035,0.06914146656460796,0.11361731111841411,0.4582480492972563
retailrocket,n_baskets,421,3.9002375296912115,8.974542033181981,1.0,1.0,1.0,7.0,49.0
retailrocket,avg_basket_size,421,1.2536817993661424,0.7414117911828932,1.0,1.0,1.0,2.0,8.0
retailrocket,repeat_rate,421,0.05009373480844054,0.14362626908729711,0.0,0.0,0.0,0.2222222222222222,0.6666666666666667
retailrocket,adjacent_basket_jaccard,128,0.2553778090399184,0.40769157797608235,0.0,0.0,0.0,1.0,1.0
retailrocket,recent_basket_novelty,128,0.6899553571428572,0.45625391415269684,0.0,0.0,1.0,1.0,1.0
retailrocket,popularity_profile,421,0.5817129033666296,0.24257968932034596,0.3319656115670183,0.3319656115670183,0.5749044765750507,0.924970691676436,0.9984368894099256
retailrocket,neighbor_similarity,421,0.025687406382107633,0.043321556862177486,0.0,0.0,0.0065594932466687,0.0770268929831768,0.2813549793605422
retailrocket,sequential_specificity,421,0.059329650766828126,0.09134362156947327,0.0,0.0,0.0,0.1560151951868665,0.4897429879009073
retailrocket,relational_strength,421,0.02481885034247581,0.05678021704430375,0.0,0.0,0.0,0.1410480790323769,0.3341171537138502
sam,n_baskets,8959,6.677865833240317,7.299835614547012,2.0,2.0,4.0,14.0,49.0
sam,avg_basket_size,8959,4.195936316524502,3.3772760712142444,1.0,1.0,3.5,7.868333333333331,48.5
sam,repeat_rate,8959,0.25770822911336033,0.22667690809982408,0.0,0.0,0.217391304347826,0.5798655462184873,0.979591836734694
sam,adjacent_basket_jaccard,8959,0.19260550722196645,0.28305379340123543,0.0,0.0,0.075,0.6479500891265589,1.0
sam,recent_basket_novelty,8959,0.5707097985994621,0.39201176375374064,0.0,0.0,0.6666666666666666,1.0,1.0
sam,popularity_profile,8959,0.8086205117087943,0.15156994540345103,0.1817004620500897,0.5950874069278084,0.850055058516535,0.9543100150092704,0.999764560463816
sam,neighbor_similarity,8959,0.14470557582998997,0.11164200804005435,0.0,0.05818571181822548,0.1226983638256017,0.23764283278631465,1.0
sam,sequential_specificity,8959,0.3788185466754854,0.1874363244009141,0.0,0.11997683053344223,0.3765173953537674,0.6325086728382925,0.8569315501493125
sam,relational_strength,8959,0.07890285431951079,0.05583483878303717,0.0,0.0,0.0784538229132765,0.1302922161955277,0.7366211405972418
tafeng,n_baskets,9924,4.30602579604998,5.439687908391602,1.0,1.0,3.0,9.0,49.0
tafeng,avg_basket_size,9924,7.410524663686937,6.201452496039231,1.0,2.0,5.75,15.0,69.0
tafeng,repeat_rate,9924,0.04881867329825451,0.07846711253141744,0.0,0.0,0.0,0.15625,0.8529411764705882
tafeng,adjacent_basket_jaccard,6825,0.03104109981622051,0.06342173928630887,0.0,0.0,0.0024743225524475,0.08501968717263307,1.0
tafeng,recent_basket_novelty,6825,0.8544737194107209,0.23694677328653965,0.0,0.5,1.0,1.0,1.0
tafeng,popularity_profile,9924,0.8574361648871113,0.10153549118295022,0.0151644141747366,0.7381840877956659,0.8749622283558691,0.9632724096342804,1.0
tafeng,neighbor_similarity,9924,0.204732476517289,0.12740221148855704,0.0,0.11775170049064092,0.17009892160257611,0.31050301621672766,1.0
tafeng,sequential_specificity,9924,0.29300893726711436,0.11192640435276181,0.0,0.1691189193878435,0.2698357587978051,0.4581415605832147,0.640476668133134
tafeng,relational_strength,9924,0.06837337990139908,0.04644387175176944,0.0,0.030102109935642052,0.06255569542680556,0.10437029444515636,0.801357064950892
taobao,n_baskets,13819,6.046891960344453,4.698275090591009,2.0,2.0,5.0,12.0,49.0
taobao,avg_basket_size,13819,1.5049555940300274,0.7515700994555378,1.0,1.0,1.25,2.363636363636364,15.5
taobao,repeat_rate,13819,0.06414299661914175,0.1363699316899423,0.0,0.0,0.0,0.2222222222222222,0.9166666666666666
taobao,adjacent_basket_jaccard,13819,0.06065321602391628,0.18118598580957126,0.0,0.0,0.0,0.2,1.0
taobao,recent_basket_novelty,13819,0.8896603405525075,0.3062962362318076,0.0,0.0,1.0,1.0,1.0
taobao,popularity_profile,13819,0.7729851978906402,0.14643596222475092,0.3070613506385215,0.5769669999003019,0.7814604424786782,0.9663835842404357,1.0
taobao,neighbor_similarity,13819,0.16665712012857226,0.13890005000318706,0.0,0.0558752499592551,0.1420830427100907,0.26864302979665405,1.0
taobao,sequential_specificity,13819,0.26140615778996545,0.23017096030715856,0.0,0.0,0.217323064495345,0.5708823249262581,0.8205937376608508
taobao,relational_strength,13819,0.035895884414764566,0.040023065293722834,0.0,0.0,0.0275864272877988,0.08640938071619729,0.3304899035290757
tmall,n_baskets,11405,4.756510302498904,3.6661929346382367,2.0,2.0,4.0,9.0,49.0
tmall,avg_basket_size,11405,1.2757314348586168,0.40798461009735987,1.0,1.0,1.125,1.75,5.666666666666667
tmall,repeat_rate,11405,0.03272808697858927,0.09023619798283491,0.0,0.0,0.0,0.1428571428571429,0.6666666666666667
tmall,adjacent_basket_jaccard,11405,0.034533613785431606,0.1258800782691638,0.0,0.0,0.0,0.0952380952380952,1.0
tmall,recent_basket_novelty,11405,0.9465176092357155,0.22006853074313204,0.0,1.0,1.0,1.0,1.0
tmall,popularity_profile,11405,0.7722970284928414,0.14893626056305767,0.2374310988620199,0.5764302542674252,0.7885624110953058,0.9545252489331436,1.0
tmall,neighbor_similarity,11405,0.19200596090757313,0.0899950740382733,0.0,0.07246108349736384,0.1879709088027588,0.30723672310066463,0.6598159897317917
tmall,sequential_specificity,11405,0.2760747462663192,0.23615734347809444,0.0,0.0,0.2178963443186091,0.6430561855873551,0.8442140871563766
tmall,relational_strength,11405,0.03348810377330565,0.050554303847239024,0.0,0.0,0.0146789205324654,0.08894976114317543,0.5435040337192889
valuedshopper,n_baskets,15150,8.958679867986799,0.43359892384336723,2.0,9.0,9.0,9.0,9.0
valuedshopper,avg_basket_size,15150,12.108131017863691,7.5569552653461844,1.1111111111111112,4.333333333333333,10.444444444444445,22.0,79.0
valuedshopper,repeat_rate,15150,0.2576833564822155,0.10543369895852778,0.0,0.1290322580645161,0.25,0.39813758886255934,0.7407407407407407
valuedshopper,adjacent_basket_jaccard,15150,0.06428061732079221,0.055516630090955796,0.0,0.0104166666666666,0.0513888888888888,0.13147047989985067,0.75
valuedshopper,recent_basket_novelty,15150,0.556917988656283,0.27330633299365187,0.0,0.19291497975708502,0.5625,1.0,1.0
valuedshopper,popularity_profile,15150,0.939698745815415,0.031880366991908826,0.6025272809352574,0.8996844508084486,0.9472487219977856,0.9704863832776535,0.9954875542894502
valuedshopper,neighbor_similarity,15150,0.16385471267600865,0.03382602425992978,0.0601746943274884,0.12306848521550974,0.16080337391823166,0.2089176064993557,0.3392759665789662
valuedshopper,sequential_specificity,15150,0.1366698027689603,0.08904399828974281,0.0,0.06074866633837525,0.1110439527449085,0.24010047484095362,0.7146464587687693
valuedshopper,relational_strength,15150,0.07552343850446347,0.02115141776499912,0.004663576593659,0.05254657493392762,0.0731692185586941,0.10092694339760726,0.2828660955528248
